participant_id	CTOPP_EL_Raw	CTOPP_EL_StS	CTOPP_BW_Raw	CTOPP_BW_StS	CTOPP_PhonAwareness_Comp
sub-01	16	10	14	9	97
sub-02	16	9	14	9	94
sub-03	20	13	14	9	106
sub-04	16	11	13	10	103
sub-05	6	7	15	11	94
sub-06	8	5	15	10	85
sub-07	20	14	9	7	103
sub-08	14	10	10	8	94
sub-09	19	12	16	11	109
sub-10	8	6	8	6	76
sub-11	19	12	14	9	103
sub-12	8	6	14	9	85
sub-13	18	13	14	10	109
sub-14	18	12	19	14	118
sub-15	18	13	14	10	109
sub-16	19	14	18	14	124
sub-17	13	9	9	8	91
sub-18	18	13	19	15	124
sub-19	20	14	18	13	121
sub-20	18	13	13	10	109
sub-21	18	13	11	9	106
sub-22	18	11	12	8	97
sub-23	14	10	14	10	100
sub-24	8	6	10	7	79
sub-25	15	9	19	14	109
sub-26	n/a	n/a	n/a	n/a	n/a
sub-27	n/a	n/a	n/a	n/a	n/a
sub-28	n/a	n/a	n/a	n/a	n/a
sub-29	8	6	15	10	88
sub-30	18	13	18	14	121
sub-31	16	9	11	8	91
sub-32	17	12	19	15	121
sub-33	19	13	14	9	106
sub-34	19	14	17	13	121
sub-35	19	13	19	14	121
sub-36	17	11	18	13	112
sub-37	8	7	13	10	91
sub-38	19	12	19	14	118
sub-39	20	14	20	15	127
sub-40	18	11	15	10	103
sub-41	n/a	n/a	n/a	n/a	n/a
sub-42	n/a	n/a	n/a	n/a	n/a
sub-43	17	12	19	15	121
sub-44	19	14	15	11	115
sub-45	n/a	n/a	n/a	n/a	n/a
sub-46	20	14	14	9	109
sub-47	n/a	n/a	n/a	n/a	n/a
sub-48	19	12	17	12	112
sub-49	n/a	n/a	n/a	n/a	n/a
sub-50	11	8	11	9	91
sub-51	18	13	19	15	124
sub-52	n/a	n/a	n/a	n/a	n/a
sub-53	19	12	17	12	112
sub-54	17	11	14	9	100
sub-55	6	6	9	8	82
sub-56	8	5	14	9	82
sub-57	18	11	19	14	115
sub-58	8	5	15	10	85
sub-59	19	14	19	15	127
sub-60	8	8	16	12	100
sub-61	18	11	18	13	112
sub-62	19	12	13	9	103
sub-63	12	9	16	12	103
sub-64	19	14	15	11	115
sub-65	18	13	9	8	103
sub-66	17	10	18	13	109
sub-67	19	13	20	15	124
sub-68	19	13	13	9	106
sub-69	13	8	14	8	88
sub-70	19	14	11	9	109
sub-71	17	12	12	9	103
sub-72	8	6	9	7	79
sub-73	8	6	12	8	82
sub-74	15	10	14	10	100
sub-75	17	11	12	8	97
sub-76	20	13	19	14	121
sub-77	8	5	6	5	70
sub-78	18	11	11	8	97
sub-79	17	12	16	12	112
